title, url, img, ingredient
"“Sweep the Kitchen” Pasta Salad","https://www.budgetbytes.com/sweep-the-kitchen-pasta-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Add-Salad-Dressing-to-Pasta-Salad-347x260.jpg","sun dried tomatoes"
"“Sweep the Kitchen” Pasta Salad","https://www.budgetbytes.com/sweep-the-kitchen-pasta-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Add-Salad-Dressing-to-Pasta-Salad-347x260.jpg","crumbled feta"
"“Sweep the Kitchen” Pasta Salad","https://www.budgetbytes.com/sweep-the-kitchen-pasta-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Add-Salad-Dressing-to-Pasta-Salad-347x260.jpg","Italian Dressing"
"Sriracha Nooch Popcorn","https://www.budgetbytes.com/sriracha-nooch-popcorn/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Sriracha-Nooch-Popcorn-Game-Night-347x260.jpg","high heat cooking oil*"
"Sriracha Nooch Popcorn","https://www.budgetbytes.com/sriracha-nooch-popcorn/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Sriracha-Nooch-Popcorn-Game-Night-347x260.jpg","popcorn kernels"
"Sriracha Nooch Popcorn","https://www.budgetbytes.com/sriracha-nooch-popcorn/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Sriracha-Nooch-Popcorn-Game-Night-347x260.jpg","butter"
"Sriracha Nooch Popcorn","https://www.budgetbytes.com/sriracha-nooch-popcorn/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Sriracha-Nooch-Popcorn-Game-Night-347x260.jpg","sriracha"
"Sriracha Nooch Popcorn","https://www.budgetbytes.com/sriracha-nooch-popcorn/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Sriracha-Nooch-Popcorn-Game-Night-347x260.jpg","nutritional yeast"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","olive oil"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","garlic"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","grated fresh ginger"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","sweet potato (about 1 lb.)"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","medium onion"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","cumin"
"Vegan West African Peanut Stew","https://www.budgetbytes.com/african-peanut-stew-vegan/","https://www.budgetbytes.com/wp-content/uploads/2014/08/West-African-Peanut-Stew-eat-347x260.jpg","crushed red pepper"
